Passagens Vendidas,Probabilidade de Overbooking (%)
120,0.0
121,1.916034524374055e-05
122,0.0002973685581553198
123,0.0023338526766392143
124,0.012353354539629269
125,0.049625901469940725
126,0.1614435422608862
127,0.44322399705406523
128,1.0567003014894993
129,2.2345748060055293
130,4.260518953773095
131,7.420991824290491
132,11.937594871975366
133,17.899510894919402
134,25.218909335395303
135,33.62576125845619
136,42.70516133536197
137,51.96614941380581
138,60.922069649665666
139,69.16151626665683
140,76.39488308620464
